name,rating,reviews,details,highly_rated,critically_rated
R1 RCM,3.9,(3.5k),BPO | New Delhi +38 other locations,"Company Culture, Job Security","Company Culture, Job Security"
Tata Communications,4.0,(3.4k),Telecom | Pune +95 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Havells,4.0,(3.4k),Electrical Equipment | Noida +212 other locations,"Work Life Balance, Salary & Benefits","Work Life Balance, Salary & Benefits"
Access Healthcare,3.9,(3.4k),Analytics & KPO | Chennai +43 other locations,"Job Security, Company Culture","Job Security, Company Culture"
Royal Enfield,4.2,(3.4k),Automobile | Chennai +338 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
John Deere,4.1,(3.4k),Industrial Machinery | Pune +128 other locations,"Company Culture, Work Life Balance, Skill Development / Learning","Company Culture, Work Life Balance, Skill Development / Learning"
Hetero,3.8,(3.4k),Pharma | Hyderabad / Secunderabad +54 other locations,Job Security,Job Security
LG Electronics,4.0,(3.4k),Consumer Electronics & Appliances | Pune +273 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Job Security, Skill Development / Learning, Salary & Benefits"
Thermax Limited,4.1,(3.4k),Industrial Machinery | Pune +214 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Macleods Pharmaceuticals,3.6,(3.4k),Mumbai +115 other locations,Job Security,Job Security
Aakash Educational Services,3.4,(3.3k),Education & Training | New Delhi +225 other locations,None,Job Security
HDFC Ergo General Insurance,3.9,(3.3k),Insurance | Mumbai +281 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Tata AIA Life Insurance,4.0,(3.3k),Insurance | Mumbai +372 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Utkarsh Small Finance Bank,3.8,(3.3k),Banking | Varanasi +340 other locations,None,"Job Security, Skill Development / Learning, Salary & Benefits"
Publicis Sapient,3.5,(3.2k),IT Services & Consulting | Bangalore / Bengaluru +37 other locations,None,"Job Security, Skill Development / Learning, Salary & Benefits"
DCB Bank,3.8,(3.2k),Banking | Mumbai +322 other locations,None,"Job Security, Skill Development / Learning, Salary & Benefits"
Cummins,4.3,(3.2k),Industrial Machinery | Pune +100 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
VE Commercial Vehicles,3.9,(3.2k),Automobile | Indore +141 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
PVR Inox,4.0,(3.2k),Media & Entertainment | New Delhi +143 other locations,Skill Development / Learning,Skill Development / Learning
Viatris,4.2,(3.2k),Pharma | Hyderabad / Secunderabad +75 other locations,"Salary & Benefits, Job Security, Company Culture",None
Berger Paints,3.7,(3.2k),Chemicals | Kolkata +293 other locations,None,"Salary & Benefits, Job Security, Company Culture"
Carelon Global Solutions,3.9,(3.2k),Software Product | Bangalore / Bengaluru +19 other locations,"Company Culture, Job Security, Salary & Benefits","Company Culture, Job Security, Salary & Benefits"
Godrej & Boyce Manufacturing,3.9,(3.1k),Consumer Electronics & Appliances | Mumbai +140 other locations,Job Security,Job Security
Samvardhana Motherson Group,3.7,(3.1k),Auto Components | Noida +83 other locations,Job Security,Job Security
Lenskart,3.2,(3.2k),Internet | New Delhi +198 other locations,None,Job Security
Subros,3.8,(3.2k),Auto Components | Noida +74 other locations,"Job Security, Skill Development / Learning, Company Culture","Job Security, Skill Development / Learning, Company Culture"
Pidilite Industries,4.3,(3.1k),Chemicals | Mumbai +271 other locations,"Job Security, Company Culture, Work Life Balance",None
Automatic Data Processing (ADP),4.0,(3.1k),Software Product | Hyderabad / Secunderabad +35 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Alembic Pharmaceuticals,4.0,(3.1k),Pharma | Vadodara +168 other locations,"Salary & Benefits, Work Life Balance",None
American Express,4.2,(3.1k),Financial Services | Gurgaon / Gurugram +43 other locations,"Work Life Balance, Company Culture, Job Security",None
Bank of America,4.2,(3.1k),Banking | Gurgaon / Gurugram +31 other locations,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Abbott,4.1,(3.1k),Pharma | Mumbai +189 other locations,"Company Culture, Work Life Balance, Skill Development / Learning","Company Culture, Work Life Balance, Skill Development / Learning"
